2025-12-19 02:34:12,151 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,252 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,352 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,453 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,555 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,656 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,757 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,858 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:12,959 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,061 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,163 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,265 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,371 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,482 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,583 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,684 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,785 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,886 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:13,987 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:14,088 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:14,188 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:14,289 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
2025-12-19 02:34:14,390 - EyeRemoteControl - DEBUG - Playback stopped, waiting...
